metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_failed,1753796327,0.000000,,,,true,::requisição todos os crocodilos,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
checks,1753796327,1.000000,status code 200 get all,,,,::requisição todos os crocodilos,,,,default,,,,,,,
group_duration,1753796327,542.719041,,,,,::requisição todos os crocodilos,,,,default,,,,,,,
http_reqs,1753796327,1.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_duration,1753796327,5.945000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_blocked,1753796327,0.001000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_connecting,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_tls_handshaking,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_sending,1753796327,0.069000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_waiting,1753796327,5.788000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_receiving,1753796327,0.088000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_failed,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_reqs,1753796327,1.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_duration,1753796327,6.705000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_blocked,1753796327,0.002000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_connecting,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_tls_handshaking,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_sending,1753796327,0.099000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_waiting,1753796327,6.528000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_receiving,1753796327,0.078000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_req_failed,1753796327,0.000000,,,,true,::requisição por id,GET,https://test-api.k6.io/public/crocodiles/1/,HTTP/2.0,default,,302,,tls1.3,https://test-api.k6.io/public/crocodiles/1/,,
http_reqs,1753796327,1.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_duration,1753796327,150.810000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_blocked,1753796327,0.001000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_connecting,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_tls_handshaking,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_sending,1753796327,0.057000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_waiting,1753796327,150.558000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
